name,longitude,latitude,tiploc,station
Mulhouse Nord,4.335744999999999,50.833269,MULHNRD,False
Munchen,4.459291099999999,51.5162,MUNCHEN,False
Muir of Ord Down Sdg DCL,-4.4597370000000005,57.51693,MURODS,False
Muir of Ord,-4.4601508,57.517371999999995,MUROORD,True
Muir of Ord Up Siding,-4.4601542,57.515933999999994,MUROUS,False
Murthly,-3.4628648999999996,56.52845,MURTHLY,False
Mytholmroyd,-1.9817743000000003,53.729055,MYTHLMR,True
Newton Abbot,-3.5984898000000003,50.529593,NABT,True
Newton Abbot Hackney Yd,-3.5924453,50.536970000000004,NABTHAC,False
Newtn Abbt Hackny Yard FHH,-3.5924587999999997,50.536952,NABTHAK,False
Newton Abbot West Junction,-3.5940007000000005,50.521992,NABTWJ,False
Nadins Disposal Point,-1.6178188999999998,52.773824,NADINS,False
Burton Agnes,-0.30967309,54.045227000000004,NAFEBAG,False
Nafferton,-0.38566145,54.011287,NAFERTN,True
Nailsea & Backwell,-2.7500042000000002,51.419599,NAILSEA,True
Nairn,-3.8717511,57.580284,NAIRN,True
Namur,4.3594405,50.893848999999996,NAMUR,False
Nantwich,-2.5190477000000002,53.063489000000004,NANTWCH,True
Willaston LC,-2.4792581,53.066945999999994,NANTWLC,False
Napoli Centrale,,,NAPCENT,False
Narborough,-1.2030216999999999,52.57128,NARBRO,True
Nashenden Crossover,,,NASHENX,False
Navigation Road,-2.3432551,53.395796999999995,NAVGTNR,True
Navarino Road Jn,-0.06323020900000001,51.547339,NAVRDJ,False
New Barnet Signal K133,-0.17057632,51.644434999999994,NBAR133,False
New Barnet,-0.17274327,51.648416,NBARNET,True
New Beckenham,-0.035212937,51.416839,NBCKNHM,True
New Beckenham Siding,-0.029860894,51.411533,NBCKSDG,False
North Berwick,-2.7303879,56.05701,NBERWCK,True
North Blyth Alcan,-1.5033646,55.131466,NBLYACN,False
North Blyth Alcan GBRF,-3.9410665000000003,58.258843999999996,NBLYAGB,False
North Blyth (DBS),-3.9410665000000003,58.258843999999996,NBLYEWS,False
North Byth (FLHH),-1.503193,55.131393,NBLYFHH,False
North Blyth GBRF,-3.9410665000000003,58.258843999999996,NBLYGBF,False
North Blyth Loop,-1.5070370000000002,55.13381700000001,NBLYLP,False
North Blyth RP GBRF,-3.9410665000000003,58.258843999999996,NBLYRP,False
Newburgh,-3.2500685000000002,56.348165,NBRG,False
Newbridge (Ebbw Vale),-3.1432376,51.663158,NBRWGE,True
New Brighton,-3.0491197999999997,53.437236,NBTN,True
New Brighton Signal 606,-3.0532785,53.437397,NBTN606,False
Newcraighall,-3.0906952999999997,55.932977,NCRAGHA,True
Newcraighall South Jn,,,NCRASJN,False
North Dulwich,-0.08757695800000001,51.454737,NDULWCH,True
Neasden South JN SIG ME25,-0.25117185,51.550767,NEAS25,False
Neasden South Jn SIG ME327 ,-0.25117185,51.550767,NEAS327,False
Neasden South Jn SIG ME34,-0.25117185,51.550767,NEAS34,False
Neasden South Jn Sig ME525,-0.25117185,51.550767,NEAS525,False
Neasden South Jn Sig ME536,-0.25117185,51.550767,NEAS536,False
Neasden Charrington GBRf,,,NEASCGB,False
Neasden Charrington Sdgs,-0.25077313,51.552137,NEASCSG,False
Neasden Engrs Sdgs,-0.25076079,51.552083,NEASDGS,False
Neasden Depot (LUL),-0.25797383,51.557721,NEASDND,
Neasden South Sidings,-0.25858075,51.555428000000006,NEASDNS,False
