,,,,,,,,
~@# File opened, Actual 03/06/2018 00:00:05 BST,  Log 03/06/2018 00:00:05 BST,,,,,,
~@#Come from file 20180602,,,,,,,,
732T02M503,HTRWAPT,20180603053500,A,0,D,1,20180603053500,53441
732T03M503,EALINGB,20180603053500,A,1,D,3,20180603053400,53513
731T25M503,STHALL,20180603053600,A,2, ,  ,20180603053400,53539
731Y23M503,HTRWAJN,20180603053600,D,0,U,  ,20180603053630,53553
731T25M503,STHALL,20180603053500,D,1,D,3,20180603053400,53623
732T02M503,HTRWAPT,20180603053600,D,-1,D,1,20180603053700,53704
732T03M503,EALINGB,20180603053600,D,1,D,  ,20180603053500,53713
731Y23M503,STHALL,20180603053800,A,0, ,  ,20180603053800,53724
731T25M503,HAYESAH,20180603053800,A,0, ,  ,0,53749
731Y23M503,STHALL,20180603053600,D,-2,U,4,20180603053800,53808
731T25M503,HAYESAH,20180603053700,D,0, ,  ,0,53823
731T25M503,HTRWAJN,20180603053800,D,2,D,  ,20180603053630,53823
731Y23M503,WEALING,20180603054000,A,0, ,  ,20180603054000,53909
732T03M503,STHALL,20180603054000,A,2,D,3,20180603053830,53924
731Y23M503,WEALING,20180603053800,D,-2,U,4,20180603054000,53934
732T02M503,HTRWTM4,20180603054100,T,0,D,1,20180603054100,53934
731T25M503,HTRWTJN,20180603054000,D,3,D,  ,20180603053730,53947
731Y23M503,EALINGB,20180603054000,A,0, ,  ,0,53958
731Y23M503,EALINGB,20180603053900,D,0, ,  ,0,54008
731Y23M503,ACTONW,20180603054000,D,-1,U,  ,20180603054100,54027
731T26M503,PADTON,20180603054000,D,0,D,8,20180603054000,54050
732T03M503,STHALL,20180603054100,D,2,D,3,20180603053930,54152
731T26M503,ROYAOJN,20180603054100,D,0,D,  ,20180603054100,54156
731T26M503,PRTOBJP,20180603054200,D,0,D,  ,20180603054200,54223
731Y24M503,HTRWTM5,20180603054200,D,0,U,4,20180603054200,54229
732T04M503,PADTON,20180603054200,D,0,D,14,20180603054200,54250
731T26M503,LDBRKJ,20180603054300,D,0,D,  ,20180603054300,54257
731Y23M503,LDBRKJ,20180603054300,D,-2,U,R ,20180603054500,54310
732T03M503,HAYESAH,20180603054300,A,1,D,3,20180603054230,54315
731T25M503,HTRWAPT,20180603054400,A,4,D,1,20180603054030,54319
732T04M503,ROYAOJN,20180603054300,D,0,D,  ,20180603054300,54357
731Y23M503,PRTOBJP,20180603054400,D,-2,U,  ,20180603054600,54416
732T04M503,PRTOBJP,20180603054400,D,0,D,  ,20180603054400,54425
731Y24M503,HTRWAPT,20180603054500,A,0,U,2,20180603054530,54439
735T05M503,OLDOEMU,20180603054400,D,4,U,  ,20180603054000,54450
732T04M503,LDBRKJ,20180603054500,D,0,D,  ,20180603054500,54459
731Y23M503,ROYAOJN,20180603054500,D,-2,U,  ,20180603054700,54512
